2024-11-04_19-04-53,000%,2024-11-04_19-04-53:shell.cpp.log;2024-11-04_19-04-53:student.cpp.log
2024-11-04_19-26-37,000%,2024-11-04_19-04-53:shell.cpp.log;2024-11-04_19-26-37:student.cpp.log
2024-11-04_19-49-56,000%,2024-11-04_19-04-53:shell.cpp.log;2024-11-04_19-49-56:student.cpp.log
2024-11-04_19-55-33,000%,2024-11-04_19-04-53:shell.cpp.log;2024-11-04_19-55-33:student.cpp.log
2024-11-04_19-56-10,000%,2024-11-04_19-04-53:shell.cpp.log;2024-11-04_19-56-10:student.cpp.log
2024-11-04_19-56-34,200%,2024-11-04_19-04-53:shell.cpp.log;2024-11-04_19-56-34:student.cpp.log
2024-11-04_20-01-15,200%,2024-11-04_19-04-53:shell.cpp.log;2024-11-04_20-01-15:student.cpp.log
2024-11-04_20-04-43,200%,2024-11-04_19-04-53:shell.cpp.log;2024-11-04_20-04-43:student.cpp.log
2024-11-04_20-08-24,100%,2024-11-04_19-04-53:shell.cpp.log;2024-11-04_20-08-24:student.cpp.log
2024-11-04_20-09-28,100%,2024-11-04_19-04-53:shell.cpp.log;2024-11-04_20-09-28:student.cpp.log
2024-11-04_20-15-14,200%,2024-11-04_19-04-53:shell.cpp.log;2024-11-04_20-15-14:student.cpp.log
2024-11-04_20-16-33,200%,2024-11-04_19-04-53:shell.cpp.log;2024-11-04_20-16-33:student.cpp.log
2024-11-04_20-25-51,200%,2024-11-04_19-04-53:shell.cpp.log;2024-11-04_20-25-51:student.cpp.log
2024-11-04_20-26-40,200%,2024-11-04_19-04-53:shell.cpp.log;2024-11-04_20-26-40:student.cpp.log
2024-11-04_20-27-18,400%,2024-11-04_19-04-53:shell.cpp.log;2024-11-04_20-27-18:student.cpp.log
2024-11-04_20-28-00,400%,2024-11-04_19-04-53:shell.cpp.log;2024-11-04_20-28-00:student.cpp.log
2024-11-04_20-29-15,500%,2024-11-04_19-04-53:shell.cpp.log;2024-11-04_20-29-15:student.cpp.log
2024-11-04_20-34-54,600%,2024-11-04_19-04-53:shell.cpp.log;2024-11-04_20-34-54:student.cpp.log
2024-11-04_20-38-34,600%,2024-11-04_19-04-53:shell.cpp.log;2024-11-04_20-38-34:student.cpp.log
2024-11-04_20-40-29,600%,2024-11-04_19-04-53:shell.cpp.log;2024-11-04_20-40-29:student.cpp.log
2024-11-04_20-41-04,600%,2024-11-04_19-04-53:shell.cpp.log;2024-11-04_20-41-04:student.cpp.log
2024-11-04_20-41-20,700%,2024-11-04_19-04-53:shell.cpp.log;2024-11-04_20-41-20:student.cpp.log
2024-11-04_20-42-24,700%,2024-11-04_19-04-53:shell.cpp.log;2024-11-04_20-42-24:student.cpp.log
2024-11-04_20-43-37,700%,2024-11-04_19-04-53:shell.cpp.log;2024-11-04_20-43-37:student.cpp.log
2024-11-04_20-44-50,700%,2024-11-04_19-04-53:shell.cpp.log;2024-11-04_20-44-50:student.cpp.log
2024-11-04_20-45-08,700%,2024-11-04_19-04-53:shell.cpp.log;2024-11-04_20-45-08:student.cpp.log
2024-11-04_20-45-38,700%,2024-11-04_19-04-53:shell.cpp.log;2024-11-04_20-45-38:student.cpp.log
2024-11-04_20-51-02,COMP,2024-11-04_19-04-53:shell.cpp.log;2024-11-04_20-51-02:student.cpp.log
2024-11-04_20-51-16,800%,2024-11-04_19-04-53:shell.cpp.log;2024-11-04_20-51-16:student.cpp.log
2024-11-04_20-57-18,800%,2024-11-04_19-04-53:shell.cpp.log;2024-11-04_20-57-18:student.cpp.log
2024-11-04_21-01-36,800%,2024-11-04_19-04-53:shell.cpp.log;2024-11-04_21-01-36:student.cpp.log
2024-11-04_21-02-46,800%,2024-11-04_19-04-53:shell.cpp.log;2024-11-04_21-02-46:student.cpp.log
2024-11-04_21-04-17,800%,2024-11-04_19-04-53:shell.cpp.log;2024-11-04_21-04-17:student.cpp.log
2024-11-04_21-10-32,700%,2024-11-04_19-04-53:shell.cpp.log;2024-11-04_21-10-32:student.cpp.log
2024-11-04_22-51-24,700%,2024-11-04_19-04-53:shell.cpp.log;2024-11-04_22-51-24:student.cpp.log
2024-11-04_23-07-44,800%,2024-11-04_19-04-53:shell.cpp.log;2024-11-04_23-07-44:student.cpp.log
2024-11-04_23-09-30,800%,2024-11-04_19-04-53:shell.cpp.log;2024-11-04_23-09-30:student.cpp.log
2024-11-04_23-11-38,800%,2024-11-04_19-04-53:shell.cpp.log;2024-11-04_23-11-38:student.cpp.log
2024-11-04_23-13-48,800%,2024-11-04_19-04-53:shell.cpp.log;2024-11-04_23-13-48:student.cpp.log
2024-11-04_23-17-46,800%,2024-11-04_19-04-53:shell.cpp.log;2024-11-04_23-17-46:student.cpp.log
